Date,Close,Open,High,Low,7_day_MA,14_day_MA,30_day_MA,Daily_Change,Volatility
2013-04-04,132.1,135.0,142.1,116.4,109.25714285714285,92.69285714285714,69.73,-0.021481481481481546,19.129545833854113
2013-04-05,142.3,132.1,144.9,130.2,116.65714285714286,97.86428571428573,73.10666666666667,0.07721423164269514,20.624892496112363
2013-04-06,142.6,142.3,143.9,139.5,123.85714285714286,103.45714285714287,76.46000000000001,0.0021082220660575413,19.426430204136633
2013-04-07,162.3,142.6,164.9,142.6,133.75714285714287,109.94285714285715,80.39666666666666,0.1381486676016832,18.725816149802178
2013-04-08,187.5,162.3,194.9,162.6,145.68571428571428,118.07857142857142,85.08666666666666,0.155268022181146,22.769528510081848
2013-04-09,230.0,187.5,240.1,186.5,161.68571428571428,128.9,91.22,0.22666666666666657,35.73305792360108
2013-04-10,165.0,230.0,266.0,105.0,165.97142857142856,134.33571428571426,95.10666666666665,-0.28260869565217395,33.742639408998755
2013-04-11,124.9,165.0,188.7,110.2,164.94285714285715,137.1,97.79333333333332,-0.24303030303030304,35.0323116157478
2013-04-12,117.0,124.9,140.0,54.3,161.32857142857142,138.99285714285716,100.13000000000001,-0.06325060048038433,38.854331130763896
2013-04-13,93.0,117.0,130.0,85.5,154.24285714285716,139.05,101.65666666666667,-0.20512820512820518,46.59137463604386
2013-04-14,90.0,93.0,110.0,84.4,143.9142857142857,138.8357142857143,103.08999999999999,-0.032258064516129004,52.18558001885925
2013-04-15,82.4,90.0,102.0,71.5,128.9,137.29285714285714,104.27,-0.08444444444444443,52.67241529807924
2013-04-16,68.4,82.4,84.5,50.0,105.81428571428572,133.75,104.97,-0.16990291262135926,32.54404341664936
2013-04-17,93.1,68.4,98.8,63.3,95.54285714285713,130.75714285714287,106.35333333333332,0.36111111111111094,19.471676622114146
2013-04-18,109.0,93.1,113.0,86.0,93.27142857142859,129.10714285714286,108.01666666666667,0.1707841031149302,16.114249831098046
2013-04-19,118.5,109.0,136.4,105.5,93.4857142857143,127.40714285714286,109.81666666666666,0.08715596330275233,16.488018738003596
2013-04-20,126.6,118.5,132.0,115.0,98.28571428571429,126.26428571428572,111.67666666666666,0.06835443037974676,20.680782429704102
2013-04-21,119.2,126.6,130.5,110.0,102.45714285714287,123.1857142857143,113.32000000000001,-0.05845181674565558,21.653010348283065
2013-04-22,127.4,119.2,127.4,118.5,108.88571428571427,118.89285714285714,115.42333333333333,0.06879194630872476,21.384139650016905
2013-04-23,143.5,127.4,144.0,125.0,119.61428571428571,112.71428571428571,117.82333333333332,0.12637362637362637,15.79571973367339
